componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,totalCycleTime,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId
F-22,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,29,TEK-004-BURGHER325HLND
F-1 ,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,3/28/25 00:00,3/28/25 00:00,30,TEK-028-CHAROUHIS
W-60A,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,8/28/24 00:00,8/28/24 00:00,48,TEK-004-BURGHER325HLND
R-1,Roof Panel,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,41,TEK-015-ASPENGLENSD-2
W-14,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,9/12/24 00:00,9/12/24 00:00,100,TEK-004-BURGHER325HLND
W-74,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,24,TEK-004-BURGHER325HLND
W-72,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,110,TEK-018-ASPENGLENSD-5
W-16C,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,19,TEK-015-ASPENGLENSD-2
W-14,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,11/5/24 00:00,11/5/24 00:00,33,TEK-019-ASPENGLENSD-6
W-66B,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,186,TEK-004-BURGHER325HLND
W-3,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,100,TEK-018-ASPENGLENSD-5
W-72,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,30,TEK-004-BURGHER325HLND
W-6,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,108,TEK-004-BURGHER325HLND
W-1.11A,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,24,TEK-028-CHAROUHIS
F-11A,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/5/25 00:00,5/5/25 00:00,144,TEK-015-ASPENGLENSD-2
