id,componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId,Level,createdAt,maxHeight,maxWidth,sequence,updatedAt,weight
a0f2dd14-9e28-4fc0-ab54-0fa16dd61549,W-2.10,Exterior Wall,Delivered,Ship,Cut,Pending,100,6/6/25,,,Mike,6/11/25,6/11/25,31,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
0c234dd8-b154-4af1-a23a-f4d72908b4af,W-2.11,Exterior Wall,Delivered,Ship,Cut,Pending,100,6/6/25,,,Mike,6/11/25,6/11/25,30,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
11e1025a-6fdc-47d4-b385-860a0f9c68f8,W-2.12,Interior Wall ,Delivered,Ship,Cut,Pending,100,6/9/25,,,Adrian ,6/11/25,6/11/25,20,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
b955b2f7-c8c8-4cea-ba75-71227b550a37,W-2.13,Interior Wall ,Delivered,Ship,Cut,Pending,25,6/9/25,,,Adrian ,6/11/25,6/11/25,36,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
ae4657a8-c13e-45e9-90d3-e062c6bfb3d3,W-2.14,Exterior Wall,Delivered,Ship,Cut,Pending,100,6/6/25,,,Adrian ,6/11/25,6/11/25,93,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
ad803789-9c79-4145-8f23-3a221406b84e,W-2.15,Interior Wall ,Delivered,Ship,Cut,Pending,100,6/9/25,,,Andres,6/11/25,6/11/25,21,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
1a26487e-00c1-4ee7-8671-2aab896b958b,W-2.16,Exterior Wall,Delivered,Ship,Cut,Pending,100,6/9/25,,,Andres,6/11/25,6/11/25,47,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
676c2794-64f7-4812-afc2-4a0fbd41955d,W-2.17,Exterior Wall,Delivered,Ship,Cut,Pending,100,6/5/25,,,Adrian,6/11/25,6/11/25,250,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
bff370bc-51e0-442e-9eea-46804ebf7b6c,W-2.18,Interior Wall ,Delivered,Ship,Cut,Pending,100,6/6/25,,,Adrian ,6/11/25,6/11/25,137,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
1111c983-a06b-4e8e-a8c0-050fded04b3e,W-2.19,Interior Wall ,Delivered,Ship,Cut,Pending,100,6/9/25,,,Andres,6/11/25,6/11/25,19,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
b19fadd2-bf1d-405e-a87a-5fa5b7d38b4e,W-2.20,Interior Wall ,Quality Issue,Cut,Cut,Pending,25,6/6/25,,,Adrian ,6/11/25,6/11/25,166,TEK-028-CHAROUHIS,,22:03.7,,,,36:17.0,
